numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,01706E+13;101830;-50;6;0;0.000000;289.350000;285.750000;79;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100970;mq;mq;-70;mq;mq;mq;mq;289.950000;mq;mq;0.600000;2.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,01706E+13;101810;-50;8;0;0.000000;291.650000;286.050000;70;42820;0;mq;mq;mq;4;3900;mq;mq;mq;101250;mq;mq;-50;mq;mq;mq;mq;289.250000;mq;mq;0.700000;1.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;3900;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,01706E+13;101710;-50;8;200;6.500000;289.650000;286.950000;84;14000;2;2;mq;60;5;2500;30;23;10;101610;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;9.300000;9.900000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;5;3;2500;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,01706E+13;101820;-20;8;210;1.500000;290.150000;287.450000;84;22000;0;mq;mq;mq;0;mq;mq;mq;mq;101030;mq;mq;-60;mq;mq;mq;mq;286.350000;mq;mq;2.000000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,01706E+13;101850;-30;6;180;2.300000;288.550000;284.150000;75;60000;0;mq;mq;mq;0;mq;mq;mq;mq;100050;mq;mq;-60;mq;mq;mq;mq;285.150000;mq;mq;2.700000;2.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,01706E+13;101930;-50;6;80;1.600000;287.850000;285.850000;88;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100800;mq;mq;-40;mq;mq;mq;mq;290.150000;mq;mq;2.300000;2.900000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,01706E+13;101760;-30;8;210;5.600000;289.450000;289.150000;98;2210;50;mq;mq;100;8;80;mq;mq;mq;100600;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;7.900000;8.900000;-10;2;0.000000;mq;mq;0.400000;1.000000;1.000000;1.000000;1.000000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,01706E+13;101690;-70;8;210;4.400000;290.550000;288.150000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101000;mq;mq;-60;mq;mq;mq;mq;mq;mq;mq;8.700000;8.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,01706E+13;101880;-30;8;230;0.900000;288.550000;286.050000;85;49840;0;mq;mq;mq;0;mq;mq;mq;mq;101440;mq;mq;-30;mq;mq;mq;mq;288.150000;mq;mq;1.700000;1.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,01706E+13;101910;10;2;300;0.800000;287.550000;284.550000;82;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100180;mq;mq;0;mq;mq;mq;mq;289.450000;mq;mq;1.300000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
