numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02106E+13;100880;70;1;70;0.800000;289.250000;289.250000;100;5560;0;mq;mq;mq;mq;mq;mq;mq;mq;100030;mq;mq;-580;mq;mq;mq;mq;289.050000;mq;mq;1.100000;3.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;2.800000;5.600000;5.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02106E+13;100770;-190;5;70;3.600000;288.950000;288.150000;95;4670;10;mq;mq;100;8;150;mq;mq;mq;100220;mq;mq;-590;mq;mq;mq;mq;290.350000;mq;mq;6.300000;9.900000;-10;1;0.000000;mq;mq;0.000000;0.400000;13.000000;13.000000;13.000000;mq;mq;mq;mq;7;mq;150;8;mq;1140;mq;mq;mq;mq;mq;mq
07020;2,02106E+13;100720;-140;8;80;1.100000;285.750000;285.250000;97;10000;2;2;2;100;8;2500;30;25;mq;100610;mq;mq;-870;mq;mq;mq;mq;mq;mq;mq;1.700000;3.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;2.200000;2.200000;mq;mq;mq;mq;8;3;2500;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02106E+13;100840;-70;8;170;3.400000;286.850000;286.550000;98;14750;0;mq;mq;mq;1;250;mq;mq;mq;100040;mq;mq;-760;mq;mq;mq;mq;288.950000;mq;mq;3.900000;4.700000;-10;1;0.000000;mq;mq;0.000000;18.200000;18.400000;19.600000;19.600000;mq;mq;mq;mq;1;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,02106E+13;100930;0;0;230;2.000000;286.050000;285.150000;94;53430;0;mq;mq;mq;1;80;mq;mq;mq;99130;mq;mq;-580;mq;mq;mq;mq;289.350000;mq;mq;2.900000;5.500000;-10;mq;0.000000;mq;mq;1.400000;12.700000;12.700000;20.000000;20.200000;mq;mq;mq;mq;1;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,02106E+13;100930;60;3;210;4.900000;292.350000;290.650000;90;20000;0;mq;mq;100;8;2820;mq;mq;mq;99830;mq;mq;-610;mq;mq;mq;mq;291.350000;mq;mq;8.300000;8.300000;-10;0;mq;mq;mq;0.000000;0.000000;30.600000;30.600000;30.600000;mq;mq;mq;mq;4;mq;2820;8;mq;5760;mq;mq;mq;mq;mq;mq
07110;2,02106E+13;100810;-40;8;200;3.400000;286.750000;285.850000;94;19620;0;mq;mq;100;8;800;mq;mq;mq;99650;mq;mq;-790;mq;mq;mq;mq;285.750000;mq;mq;4.700000;7.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;11.400000;11.800000;mq;mq;mq;mq;1;mq;660;6;mq;1080;8;mq;1260;mq;mq;mq
07117;2,02106E+13;100800;20;2;220;4.100000;287.350000;285.550000;89;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100110;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.700000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02106E+13;101010;40;3;190;2.300000;287.650000;286.650000;94;19960;0;mq;mq;90;7;1250;mq;mq;mq;100570;mq;mq;-610;mq;mq;mq;mq;288.150000;mq;mq;3.500000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;12.200000;14.400000;mq;mq;mq;mq;7;mq;1320;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,02106E+13;101010;20;3;180;1.900000;288.250000;287.750000;97;20000;0;mq;mq;100;8;80;mq;mq;mq;99300;mq;mq;-550;mq;mq;mq;mq;292.050000;mq;mq;3.000000;4.700000;-10;1;mq;mq;mq;0.000000;0.400000;6.000000;17.200000;17.200000;mq;mq;mq;mq;1;mq;90;8;mq;240;mq;mq;mq;mq;mq;mq
