numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,01705E+13;101440;180;1;330;5.400000;283.250000;282.350000;94;3100;61;mq;mq;mq;mq;mq;mq;mq;mq;100570;mq;mq;190;mq;mq;mq;mq;284.250000;mq;mq;6.900000;7.300000;-10;12;0.000000;mq;mq;0.200000;0.400000;1.800000;4.600000;4.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,01705E+13;101250;160;2;330;4.000000;284.950000;283.050000;88;4810;10;mq;mq;90;7;1750;mq;mq;mq;100680;mq;mq;-130;mq;mq;mq;mq;284.350000;mq;mq;5.900000;7.200000;-10;2;0.000000;mq;mq;0.200000;0.400000;0.600000;0.600000;0.600000;mq;mq;mq;mq;7;mq;1800;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,01705E+13;101760;140;1;320;1.400000;284.450000;283.350000;93;8000;60;6;2;100;8;450;36;mq;mq;101660;mq;mq;730;mq;mq;mq;mq;mq;mq;mq;2.200000;3.200000;-10;mq;mq;mq;mq;-0.100000;1.600000;2.000000;5.200000;6.600000;mq;mq;mq;mq;8;7;400;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,01705E+13;101710;150;1;310;3.400000;283.850000;283.350000;97;2110;10;mq;mq;100;7;150;mq;mq;mq;100900;mq;mq;720;mq;mq;mq;mq;283.950000;mq;mq;4.500000;5.100000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;2.600000;3.400000;mq;mq;mq;mq;7;mq;180;8;mq;1800;mq;mq;mq;mq;mq;mq
07037;2,01705E+13;101510;190;1;330;4.900000;282.850000;282.350000;97;2060;61;mq;mq;100;8;150;mq;mq;mq;99680;mq;mq;420;mq;mq;mq;mq;282.850000;mq;mq;8.000000;8.300000;-10;mq;0.000000;mq;mq;-0.100000;0.400000;3.500000;8.500000;11.500000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,01705E+13;101200;100;1;280;1.700000;284.250000;283.750000;97;5760;0;mq;mq;100;8;150;mq;mq;mq;100060;mq;mq;10;mq;mq;mq;mq;284.850000;mq;mq;2.500000;3.800000;-10;2;0.000000;mq;mq;0.200000;2.000000;3.200000;3.200000;3.400000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,01705E+13;101860;150;1;270;3.400000;284.850000;283.950000;94;19270;0;mq;mq;100;8;250;mq;mq;mq;100680;mq;mq;1190;mq;mq;mq;mq;mq;mq;mq;6.100000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;4.100000;mq;mq;mq;mq;6;mq;240;6;mq;420;7;mq;600;mq;mq;mq
07117;2,01705E+13;101810;170;2;360;2.200000;284.150000;283.650000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101110;mq;mq;1050;mq;mq;mq;mq;mq;mq;mq;3.200000;3.300000;-10;mq;mq;mq;mq;0.000000;0.600000;0.600000;0.600000;24.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,01705E+13;101780;160;2;220;1.700000;284.350000;284.050000;98;5510;0;mq;mq;90;7;800;mq;mq;mq;101330;mq;mq;1020;mq;mq;mq;mq;285.250000;mq;mq;2.200000;2.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;2.400000;20.100000;mq;mq;mq;mq;7;mq;930;7;mq;1110;mq;mq;mq;mq;mq;mq
07139;2,01705E+13;101680;180;1;320;2.200000;283.550000;281.950000;90;2850;10;mq;mq;100;3;450;mq;mq;mq;99930;mq;mq;790;mq;mq;mq;mq;284.950000;mq;mq;3.200000;5.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;1.400000;15.100000;mq;mq;mq;mq;2;mq;360;3;mq;1440;8;mq;2100;mq;mq;mq
07149;2,01705E+13;101330;100;2;290;6.000000;284.450000;283.350000;93;3220;61;6;5;90;7;250;35;mq;mq;100250;mq;mq;340;mq;mq;mq;mq;mq;mq;mq;9.500000;9.500000;-10;2;0.000000;0.000000;-60;1.000000;1.200000;1.200000;1.400000;2.800000;mq;mq;mq;mq;7;6;210;mq;mq;mq;mq;mq;mq;mq;mq;mq
