numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02006E+13;101140;80;2;220;2.300000;288.150000;284.550000;79;18230;0;mq;mq;mq;mq;mq;mq;mq;mq;100290;mq;mq;90;mq;mq;mq;mq;287.750000;mq;mq;5.500000;11.000000;-10;0;mq;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;1.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02006E+13;101080;70;1;210;3.200000;289.550000;285.850000;79;51250;0;mq;mq;100;8;800;mq;mq;mq;100520;mq;mq;60;mq;mq;mq;mq;288.750000;mq;mq;5.000000;5.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.800000;5.000000;mq;mq;mq;mq;8;mq;960;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,02006E+13;101080;90;2;240;13.100000;287.850000;285.750000;87;8000;3;2;mq;100;8;450;37;mq;mq;100970;mq;mq;260;mq;mq;mq;mq;mq;mq;mq;16.600000;19.000000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;3.800000;mq;mq;mq;mq;8;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02006E+13;101290;100;2;220;3.000000;287.350000;285.550000;89;19470;0;mq;mq;90;7;800;mq;mq;mq;100490;mq;mq;210;mq;mq;mq;mq;288.550000;mq;mq;5.700000;5.700000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;0.400000;mq;mq;mq;mq;6;mq;840;7;mq;1110;7;mq;1620;mq;mq;mq
07037;2,02006E+13;101260;120;3;240;3.000000;287.250000;286.150000;93;19010;0;mq;mq;100;8;450;mq;mq;mq;99460;mq;mq;170;mq;mq;mq;mq;289.650000;mq;mq;4.400000;9.200000;-10;mq;0.000000;mq;mq;0.400000;0.400000;0.400000;0.800000;2.400000;mq;mq;mq;mq;1;mq;420;8;mq;1080;mq;mq;mq;mq;mq;mq
07072;2,02006E+13;101250;50;2;220;2.400000;292.850000;289.350000;80;20000;0;mq;mq;100;8;800;mq;mq;mq;100140;mq;mq;160;mq;mq;mq;mq;290.850000;mq;mq;4.600000;6.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.400000;mq;mq;mq;mq;7;mq;720;8;mq;1140;mq;mq;mq;mq;mq;mq
07110;2,02006E+13;101420;100;1;270;3.200000;286.450000;284.150000;86;43490;0;mq;mq;90;7;800;mq;mq;mq;100250;mq;mq;630;mq;mq;mq;mq;287.850000;mq;mq;6.100000;10.300000;-10;0;0.000000;mq;mq;0.000000;-0.100000;0.200000;0.200000;8.700000;mq;mq;mq;mq;6;mq;600;7;mq;810;7;mq;1620;mq;mq;mq
07117;2,02006E+13;101310;110;3;240;7.600000;287.050000;284.550000;85;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100620;mq;mq;540;mq;mq;mq;mq;mq;mq;mq;12.200000;13.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02006E+13;101490;120;1;230;3.200000;288.350000;285.450000;83;48140;0;mq;mq;100;8;1750;mq;mq;mq;101050;mq;mq;330;mq;mq;mq;mq;287.450000;mq;mq;5.600000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;1;mq;1560;6;mq;2520;8;mq;3480;mq;mq;mq
07139;2,02006E+13;101390;110;1;210;5.400000;288.850000;284.850000;77;20000;0;mq;mq;100;3;800;mq;mq;mq;99680;mq;mq;180;mq;mq;mq;mq;291.350000;mq;mq;9.400000;9.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;2.400000;mq;mq;mq;mq;2;mq;720;3;mq;870;8;mq;3240;mq;mq;mq
07149;2,02006E+13;101350;100;2;240;6.000000;291.050000;285.050000;68;59690;0;mq;mq;90;5;1250;mq;mq;mq;100290;mq;mq;220;mq;mq;mq;mq;mq;mq;mq;10.600000;10.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;1.400000;1.400000;mq;mq;mq;mq;5;mq;1350;7;mq;1740;7;mq;7620;mq;mq;mq
07168;2,02006E+13;101400;40;3;230;7.300000;292.950000;287.950000;73;20000;0;mq;mq;mq;2;1250;mq;mq;mq;100030;mq;mq;240;mq;mq;mq;mq;290.050000;mq;mq;11.400000;11.400000;-10;0;mq;mq;mq;0.000000;0.000000;-0.100000;-0.100000;11.200000;mq;mq;mq;mq;2;mq;1380;mq;mq;mq;mq;mq;mq;mq;mq;mq
