numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07661;2,02204E+13;mq;mq;mq;90;3.200000;mq;mq;mq;35000;2;0;mq;0;0;mq;30;20;10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.100000;7.300000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07690;2,02204E+13;101930;120;2;220;6.200000;288.050000;274.850000;41;50000;2;0;0;40;1;1250;35;20;11;101620;mq;mq;1840;mq;mq;mq;mq;278.350000;mq;mq;8.400000;8.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;1000;3;0;8000;mq;mq;mq;mq;mq;mq
07747;2,02204E+13;102070;-10;5;60;4.200000;286.850000;276.650000;50;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101540;mq;mq;380;mq;mq;mq;mq;276.450000;mq;mq;6.700000;6.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07761;2,02204E+13;101920;170;3;250;2.500000;287.250000;278.350000;55;19970;0;mq;mq;mq;0;mq;mq;mq;mq;101810;mq;mq;920;mq;mq;mq;mq;275.850000;mq;mq;4.000000;4.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07790;2,02204E+13;101910;140;3;80;2.700000;287.650000;277.050000;49;19650;0;mq;mq;mq;0;mq;mq;mq;mq;101770;mq;mq;1640;mq;mq;mq;mq;276.650000;mq;mq;5.000000;5.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
61968;2,02204E+13;101030;180;8;140;1.100000;304.450000;297.550000;67;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100990;mq;mq;0;mq;297.650000;mq;305.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;6.300000;13.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
61972;2,02204E+13;101370;80;8;140;9.900000;302.650000;297.050000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101300;mq;mq;-80;mq;299.950000;mq;303.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
61976;2,02204E+13;101160;180;8;mq;mq;302.250000;298.450000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101070;mq;mq;20;mq;298.050000;mq;304.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.600000;0.600000;16.700000;19.700000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
61980;2,02204E+13;101390;-170;8;110;10.200000;301.550000;294.850000;67;18690;0;mq;mq;mq;1;800;mq;mq;mq;101240;mq;mq;80;mq;mq;mq;mq;mq;mq;mq;15.000000;17.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;810;3;mq;2340;mq;mq;mq;mq;mq;mq
61996;2,02204E+13;102110;190;7;340;8.700000;293.250000;290.250000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101770;mq;mq;-580;mq;290.150000;mq;294.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
61997;2,02204E+13;102290;290;1;210;12.100000;277.950000;274.750000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100480;mq;mq;1760;mq;275.350000;mq;281.150000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.200000;0.400000;0.600000;1.000000;8.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
61998;2,02204E+13;99890;170;3;270;17.500000;280.150000;272.950000;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99530;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;26.200000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
67005;2,02204E+13;101140;-210;6;160;3.400000;304.050000;298.450000;72;20000;0;mq;mq;mq;1;6840;mq;mq;mq;101060;mq;mq;-20;mq;mq;mq;mq;mq;mq;mq;5.200000;5.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;1;mq;6840;mq;mq;mq;mq;mq;mq;mq;mq;mq
71805;2,02204E+13;100200;100;3;90;0.600000;275.950000;275.850000;99;2000;10;2;2;100;7;150;36;mq;mq;100110;mq;mq;-1790;mq;mq;mq;mq;274.750000;mq;mq;1.500000;4.100000;-10;2;0.000000;0.000000;-30;-0.100000;-0.100000;-0.100000;10.600000;35.200000;mq;mq;mq;mq;7;7;150;mq;mq;mq;mq;mq;mq;mq;mq;mq
78890;2,02204E+13;101470;20;5;100;7.400000;296.750000;292.250000;76;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101150;mq;mq;-120;296.450000;mq;299.850000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
78894;2,02204E+13;101540;30;5;120;4.300000;298.050000;293.350000;75;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101020;mq;mq;-110;mq;297.950000;mq;303.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
78897;2,02204E+13;101480;-40;5;110;2.900000;297.850000;293.950000;79;29210;mq;mq;mq;mq;mq;mq;mq;mq;mq;101390;mq;mq;-130;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
78925;2,02204E+13;101460;-10;5;130;4.300000;297.550000;294.850000;85;38850;0;mq;mq;100;2;800;mq;mq;mq;101370;mq;mq;-130;mq;mq;mq;mq;mq;mq;mq;6.000000;7.500000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;0.400000;mq;mq;mq;mq;mq;1;mq;690;7;mq;1740;8;mq;2160;mq;mq;mq
81401;2,02204E+13;101070;50;3;0;0.000000;297.850000;297.650000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101010;mq;mq;-70;mq;297.150000;mq;304.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.200000;2.000000;9.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
81405;2,02204E+13;101070;10;3;70;2.600000;298.750000;296.250000;86;16850;0;mq;mq;90;7;800;mq;mq;mq;100980;mq;mq;-70;mq;mq;mq;mq;300.450000;mq;mq;4.600000;4.600000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;2.600000;13.100000;mq;mq;mq;mq;5;mq;660;7;mq;900;7;mq;1080;mq;9;mq
81408;2,02204E+13;101050;40;3;330;0.500000;296.650000;296.450000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100970;mq;mq;-60;mq;296.650000;mq;303.850000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;1.000000;1.200000;5.200000;13.900000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
81415;2,02204E+13;mq;mq;mq;50;1.100000;297.050000;295.650000;92;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;296.550000;mq;304.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
89642;2,02204E+13;98070;-100;7;140;3.600000;257.350000;248.850000;44;50000;2;1;1;10;1;1250;35;20;10;97510;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;6;1380;mq;mq;mq;mq;mq;mq;mq;mq;mq
07005;2,02204E+13;102080;-90;8;140;3.200000;284.250000;274.250000;50;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101200;mq;mq;360;mq;mq;mq;mq;275.050000;mq;mq;6.100000;7.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02204E+13;102110;-70;8;150;2.500000;284.750000;273.550000;46;43240;0;mq;mq;mq;1;1250;mq;mq;mq;101540;mq;mq;540;mq;mq;mq;mq;268.350000;mq;mq;4.700000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;mq;1470;mq;mq;mq;mq;mq;mq;mq;mq;mq
