numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02206E+13;102510;10;2;240;1.600000;284.250000;283.650000;96;16040;0;mq;mq;mq;mq;mq;mq;mq;mq;101630;mq;mq;240;mq;mq;mq;mq;285.950000;mq;mq;2.800000;4.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02206E+13;102420;-10;8;250;2.300000;285.150000;282.550000;84;26950;0;mq;mq;mq;0;mq;mq;mq;mq;101850;mq;mq;200;mq;mq;mq;mq;281.450000;mq;mq;3.200000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,02206E+13;102570;30;2;280;3.600000;287.350000;286.050000;92;12000;2;0;mq;0;0;mq;30;20;10;102460;mq;mq;330;mq;mq;mq;mq;mq;mq;mq;5.600000;6.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02206E+13;102620;40;3;270;1.800000;283.350000;282.750000;96;15460;0;mq;mq;mq;0;mq;mq;mq;mq;101800;mq;mq;270;mq;mq;mq;mq;288.850000;mq;mq;2.500000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,02206E+13;102550;10;1;310;2.100000;284.450000;282.050000;85;29330;0;mq;mq;mq;0;mq;mq;mq;mq;100650;mq;mq;220;mq;mq;mq;mq;287.450000;mq;mq;2.700000;4.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,02206E+13;102390;50;1;320;3.600000;288.150000;285.050000;82;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101250;mq;mq;120;mq;mq;mq;mq;286.750000;mq;mq;5.400000;6.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,02206E+13;102750;40;2;340;1.500000;282.950000;282.650000;98;190;44;mq;mq;mq;0;mq;mq;mq;mq;101550;mq;mq;340;mq;mq;mq;mq;281.250000;mq;mq;1.800000;1.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,02206E+13;102690;40;3;220;2.500000;286.050000;285.150000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101990;mq;mq;360;mq;mq;mq;mq;mq;mq;mq;3.200000;3.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02206E+13;102620;60;1;320;3.300000;285.350000;284.450000;94;16310;0;mq;mq;mq;0;mq;mq;mq;mq;102170;mq;mq;270;mq;mq;mq;mq;286.550000;mq;mq;4.800000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,02206E+13;102550;30;3;50;1.800000;285.550000;283.450000;87;16930;0;mq;mq;mq;0;mq;mq;mq;mq;100800;mq;mq;220;mq;mq;mq;mq;291.250000;mq;mq;2.200000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07149;2,02206E+13;102470;90;2;10;2.800000;289.550000;282.450000;63;41640;2;0;0;0;0;mq;30;20;10;101390;mq;mq;180;mq;mq;mq;mq;mq;mq;mq;4.000000;6.300000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07168;2,02206E+13;102320;40;0;300;3.300000;288.650000;287.050000;90;19970;0;mq;mq;mq;0;mq;mq;mq;mq;100910;mq;mq;30;mq;mq;mq;mq;288.750000;mq;mq;3.700000;4.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07181;2,02206E+13;102300;0;4;300;0.800000;289.550000;286.050000;80;54270;0;mq;mq;mq;0;mq;mq;mq;mq;98200;mq;mq;-20;mq;mq;mq;mq;282.950000;mq;mq;1.500000;1.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07190;2,02206E+13;102240;0;5;220;1.000000;289.450000;286.750000;84;25540;0;mq;mq;mq;0;mq;mq;mq;mq;100450;mq;mq;-70;mq;mq;mq;mq;286.950000;mq;mq;1.900000;1.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07207;2,02206E+13;102590;110;1;10;5.600000;287.650000;283.850000;78;20000;2;0;mq;0;0;mq;30;20;10;102070;mq;mq;180;mq;mq;mq;mq;mq;mq;mq;9.600000;9.600000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07222;2,02206E+13;102450;110;0;10;3.400000;288.850000;282.950000;68;44070;0;mq;mq;mq;0;mq;mq;mq;mq;102140;mq;mq;110;mq;mq;mq;mq;287.150000;mq;mq;7.700000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07240;2,02206E+13;102390;110;2;10;3.900000;290.550000;285.650000;73;50980;0;mq;mq;mq;2;3360;mq;mq;mq;101060;mq;mq;100;mq;mq;mq;mq;292.950000;mq;mq;7.100000;8.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;3360;mq;mq;mq;mq;mq;mq;mq;mq;mq
07255;2,02206E+13;102210;40;1;30;1.300000;293.650000;287.050000;66;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100270;mq;mq;-20;mq;mq;mq;mq;292.350000;mq;mq;2.600000;3.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07280;2,02206E+13;102190;-20;8;330;2.500000;290.550000;286.050000;75;54160;0;mq;mq;mq;2;4140;mq;mq;mq;99600;mq;mq;-70;mq;mq;mq;mq;289.950000;mq;mq;3.100000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;4140;mq;mq;mq;mq;mq;mq;mq;mq;mq
07299;2,02206E+13;102310;30;1;220;0.800000;286.450000;284.150000;86;19860;0;mq;mq;mq;0;mq;mq;mq;mq;99060;mq;mq;-30;mq;mq;mq;mq;287.750000;mq;mq;1.300000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07314;2,02206E+13;102280;-30;8;350;4.900000;290.150000;288.150000;88;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;102010;mq;mq;-60;mq;mq;mq;mq;mq;mq;mq;6.600000;6.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07335;2,02206E+13;102310;80;0;340;3.000000;291.450000;286.750000;74;54260;0;mq;mq;mq;0;mq;mq;mq;mq;100890;mq;mq;30;mq;mq;mq;mq;291.450000;mq;mq;3.800000;4.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07434;2,02206E+13;102140;10;0;340;3.500000;293.850000;285.850000;60;45580;0;mq;mq;mq;0;mq;mq;mq;mq;97510;mq;mq;-40;mq;mq;mq;mq;291.750000;mq;mq;5.600000;6.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.400000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07460;2,02206E+13;102180;-30;7;60;1.400000;290.950000;285.450000;70;41880;0;mq;mq;mq;2;4740;mq;mq;mq;98320;mq;mq;-90;mq;mq;mq;mq;288.650000;mq;mq;2.000000;3.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;4740;mq;8;mq;mq;mq;mq;mq;mq;mq
07471;2,02206E+13;mq;-20;7;260;2.300000;288.050000;282.650000;70;20000;0;mq;mq;mq;0;mq;mq;mq;mq;92830;92500;863;20;mq;mq;mq;mq;287.350000;mq;mq;3.200000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07481;2,02206E+13;102140;0;0;220;1.900000;292.450000;284.950000;62;50000;3;1;1;60;0;9000;30;20;11;99340;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;2.400000;2.600000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;0;9000;mq;mq;mq;mq;mq;mq;mq;mq;mq
07510;2,02206E+13;102140;-110;8;10;2.100000;292.650000;289.350000;81;39630;0;mq;mq;mq;0;mq;mq;mq;mq;101570;mq;mq;-120;mq;mq;mq;mq;mq;mq;mq;3.000000;6.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07535;2,02206E+13;102140;50;0;170;0.800000;291.250000;286.550000;74;20000;0;mq;mq;mq;0;mq;mq;mq;mq;99090;mq;mq;-50;mq;mq;mq;mq;292.150000;mq;mq;1.800000;3.400000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07558;2,02206E+13;102010;10;0;30;5.400000;294.350000;283.550000;50;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;94010;mq;mq;40;mq;mq;mq;mq;mq;mq;mq;8.700000;8.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07577;2,02206E+13;102020;0;0;20;3.900000;295.450000;283.950000;48;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101160;mq;mq;10;mq;mq;mq;mq;293.750000;mq;mq;5.800000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07591;2,02206E+13;mq;130;2;10;1.900000;289.950000;279.750000;51;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;92330;mq;mq;200;mq;283.750000;mq;303.150000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07607;2,02206E+13;102250;20;3;230;2.400000;291.550000;290.050000;91;13140;0;mq;mq;100;3;250;mq;mq;mq;101550;mq;mq;60;mq;mq;mq;mq;293.350000;mq;mq;4.200000;5.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;3;mq;240;6;mq;5100;8;mq;7260;mq;mq;mq
07621;2,02206E+13;102230;20;0;280;2.900000;292.150000;290.250000;89;9940;0;mq;mq;100;8;250;mq;mq;mq;98020;mq;mq;90;mq;mq;mq;mq;291.050000;mq;mq;4.100000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.400000;0.400000;0.400000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq
