numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,01905E+13;101870;-110;8;210;1.500000;284.550000;283.250000;92;16740;0;mq;mq;mq;mq;mq;mq;mq;mq;101000;mq;mq;70;mq;mq;mq;mq;282.850000;mq;mq;3.000000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,01905E+13;101800;-90;8;190;2.300000;284.650000;282.550000;87;8860;0;mq;mq;mq;0;mq;mq;mq;mq;101230;mq;mq;50;mq;mq;mq;mq;284.350000;mq;mq;2.800000;3.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,01905E+13;101950;-80;8;250;4.200000;286.150000;284.750000;91;4000;10;2;mq;100;8;1250;38;mq;mq;101840;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;6.100000;8.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;6;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,01905E+13;102050;-50;8;270;4.600000;284.450000;283.950000;97;9050;0;mq;mq;75;4;150;mq;mq;mq;101240;mq;mq;90;mq;mq;mq;mq;283.650000;mq;mq;6.500000;7.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;4;mq;180;6;mq;4200;mq;mq;mq;mq;mq;mq
07037;2,01905E+13;101980;-70;8;mq;mq;284.150000;283.650000;97;6600;0;mq;mq;100;8;3180;mq;mq;mq;100150;mq;mq;90;mq;mq;mq;mq;286.150000;mq;mq;mq;mq;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;3180;8;mq;3900;mq;mq;mq;mq;mq;mq
07072;2,01905E+13;101940;-30;8;0;0.000000;280.250000;279.650000;96;490;44;mq;mq;mq;0;mq;mq;mq;mq;100770;mq;mq;210;mq;mq;mq;mq;283.150000;mq;mq;0.500000;0.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;1.000000;1.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,01905E+13;102230;-80;8;290;1.900000;285.250000;284.450000;95;19070;0;mq;mq;100;8;800;mq;mq;mq;101050;mq;mq;-50;mq;mq;mq;mq;287.350000;mq;mq;4.100000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;630;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,01905E+13;102150;-70;8;260;4.600000;286.450000;285.950000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101450;mq;mq;-60;mq;mq;mq;mq;mq;mq;mq;7.600000;7.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,01905E+13;102160;-30;8;330;2.700000;285.650000;284.350000;92;20310;0;mq;mq;100;8;1250;mq;mq;mq;101710;mq;mq;70;mq;mq;mq;mq;284.350000;mq;mq;3.900000;4.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;8;mq;1320;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,01905E+13;102060;-40;8;270;1.000000;286.150000;282.950000;81;20000;0;mq;mq;100;8;3420;mq;mq;mq;100320;mq;mq;120;mq;mq;mq;mq;287.850000;mq;mq;1.600000;2.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3420;mq;mq;mq;mq;mq;mq;mq;mq;mq
