numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02204E+13;100040;60;0;50;2.900000;285.650000;283.050000;84;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;99190;mq;mq;-130;mq;mq;mq;mq;284.350000;mq;mq;3.800000;4.500000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02204E+13;100110;60;1;30;4.200000;285.750000;279.350000;65;17040;0;mq;mq;mq;0;mq;mq;mq;mq;99550;mq;mq;-120;mq;mq;mq;mq;282.650000;mq;mq;5.800000;7.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,02204E+13;100200;150;3;60;3.800000;284.850000;282.750000;87;8000;2;2;mq;90;7;450;36;mq;mq;100090;mq;mq;50;mq;mq;mq;mq;mq;mq;mq;5.700000;8.900000;-10;mq;mq;mq;mq;0.200000;0.400000;0.400000;0.400000;0.400000;mq;mq;mq;mq;7;7;400;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02204E+13;100020;100;2;300;2.500000;283.950000;283.350000;96;2330;61;mq;mq;100;8;1750;mq;mq;mq;99220;mq;mq;-40;mq;mq;mq;mq;284.950000;mq;mq;3.700000;3.700000;-10;1;0.000000;mq;mq;0.400000;0.600000;0.600000;0.800000;0.800000;mq;mq;mq;mq;4;mq;1860;7;mq;2340;8;mq;2640;mq;mq;mq
07037;2,02204E+13;99990;60;2;30;3.400000;283.950000;281.350000;84;32290;0;mq;mq;100;8;3480;mq;mq;mq;98130;mq;mq;-70;mq;mq;mq;mq;283.650000;mq;mq;4.100000;5.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;2.200000;2.400000;2.400000;mq;mq;mq;mq;1;mq;3480;8;mq;4020;mq;mq;mq;mq;mq;mq
07072;2,02204E+13;99880;10;0;260;1.100000;280.950000;278.550000;85;20000;0;mq;mq;mq;2;4620;mq;mq;mq;98740;mq;mq;-170;mq;mq;mq;mq;279.650000;mq;mq;2.400000;6.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;4620;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,02204E+13;100270;90;1;360;3.700000;283.850000;282.450000;91;5680;0;mq;mq;90;7;2250;mq;mq;mq;99100;mq;mq;370;mq;mq;mq;mq;282.250000;mq;mq;6.800000;7.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;2280;7;mq;2640;mq;mq;mq;mq;mq;mq
07117;2,02204E+13;100200;60;1;30;6.000000;284.650000;282.550000;87;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99510;mq;mq;200;mq;mq;mq;mq;mq;mq;mq;8.000000;8.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02204E+13;99970;120;3;330;3.200000;283.850000;282.950000;94;3500;10;mq;mq;90;7;4320;mq;mq;mq;99530;mq;mq;160;mq;mq;mq;mq;282.150000;mq;mq;4.900000;5.300000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;3;mq;4320;7;mq;7260;mq;mq;mq;mq;mq;mq
07139;2,02204E+13;99890;100;1;10;3.000000;285.350000;282.150000;81;20000;0;mq;mq;100;8;2700;mq;mq;mq;98180;mq;mq;-50;mq;mq;mq;mq;285.750000;mq;mq;4.100000;4.100000;-10;mq;0.010000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;1;mq;2700;8;mq;3480;mq;mq;mq;mq;mq;mq
07149;2,02204E+13;99890;110;1;70;3.700000;286.750000;281.350000;70;31840;0;mq;mq;100;5;1250;mq;mq;mq;98830;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;5.800000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;1320;8;mq;2760;mq;mq;mq;mq;mq;mq
