numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02003E+13;101650;-110;8;170;2.000000;280.550000;278.150000;85;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100770;mq;mq;-450;mq;mq;mq;mq;278.450000;mq;mq;3.400000;4.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;2.800000;4.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02003E+13;101660;-80;7;160;4.000000;280.150000;278.650000;90;45060;0;mq;mq;mq;5;2760;mq;mq;mq;101080;mq;mq;-430;mq;mq;mq;mq;276.950000;mq;mq;6.200000;6.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;1.200000;2.000000;2.200000;mq;mq;mq;mq;5;mq;2760;5;mq;7140;mq;mq;mq;mq;mq;mq
07020;2,02003E+13;101360;-190;8;200;8.300000;282.950000;281.250000;89;10000;2;2;mq;90;7;450;36;mq;mq;101250;mq;mq;-280;mq;mq;mq;mq;mq;mq;mq;12.000000;12.600000;-10;2;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;7;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02003E+13;101580;-180;8;150;2.900000;278.950000;277.550000;91;30660;0;mq;mq;mq;2;4020;mq;mq;mq;100750;mq;mq;-410;mq;mq;mq;mq;277.750000;mq;mq;4.900000;5.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;2.400000;mq;mq;mq;mq;2;mq;4020;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,02003E+13;101680;-150;8;160;2.800000;279.250000;278.850000;97;18700;0;mq;mq;100;8;1250;mq;mq;mq;99820;mq;mq;-420;mq;mq;mq;mq;279.650000;mq;mq;3.600000;3.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;1.200000;4.000000;mq;mq;mq;mq;8;mq;1260;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,02003E+13;101900;-80;7;160;1.800000;280.950000;278.750000;86;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100740;mq;mq;-270;mq;mq;mq;mq;277.650000;mq;mq;4.200000;5.100000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;0.200000;0.600000;1.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,02003E+13;101390;-210;8;190;8.000000;281.950000;281.050000;94;13810;0;mq;mq;100;8;250;mq;mq;mq;100200;mq;mq;-310;mq;mq;mq;mq;282.050000;mq;mq;11.700000;12.400000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;0.200000;0.800000;mq;mq;mq;mq;7;mq;240;8;mq;390;mq;mq;mq;mq;mq;mq
07117;2,02003E+13;101380;-200;8;220;5.300000;282.650000;280.050000;84;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100680;mq;mq;-250;mq;mq;mq;mq;mq;mq;mq;9.000000;9.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02003E+13;101690;-180;8;190;3.600000;282.950000;279.250000;78;49930;0;mq;mq;100;8;800;mq;mq;mq;101240;mq;mq;-310;mq;mq;mq;mq;282.650000;mq;mq;5.700000;6.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;8;mq;720;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,02003E+13;101760;-90;8;180;2.700000;280.450000;277.750000;83;20000;0;mq;mq;mq;1;7500;mq;mq;mq;99990;mq;mq;-340;mq;mq;mq;mq;281.950000;mq;mq;4.100000;6.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.600000;mq;mq;mq;mq;1;mq;7500;mq;mq;mq;mq;mq;mq;mq;mq;mq
07149;2,02003E+13;101840;-80;8;180;2.400000;280.750000;279.650000;93;25000;1;0;0;0;0;mq;30;20;10;100740;mq;mq;-330;mq;mq;mq;mq;mq;mq;mq;3.200000;4.300000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07168;2,02003E+13;101980;-90;8;180;4.200000;282.250000;279.350000;82;20000;0;mq;mq;100;8;1750;mq;mq;mq;100540;mq;mq;-230;mq;mq;mq;mq;278.250000;mq;mq;5.700000;6.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.800000;mq;mq;mq;mq;8;mq;1980;mq;mq;mq;mq;mq;mq;mq;mq;mq
07181;2,02003E+13;102120;-70;7;160;3.100000;279.050000;273.550000;68;58580;0;mq;mq;mq;0;mq;mq;mq;mq;97950;mq;mq;-120;mq;mq;mq;mq;275.150000;mq;mq;4.200000;4.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07190;2,02003E+13;102280;-50;7;210;1.600000;274.750000;273.750000;93;18150;0;mq;mq;mq;2;2250;mq;mq;mq;100390;mq;mq;-30;mq;mq;mq;mq;273.550000;mq;mq;2.500000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;2220;mq;mq;mq;mq;mq;mq;mq;mq;mq
07207;2,02003E+13;101680;-200;8;190;8.300000;284.050000;279.150000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101160;mq;mq;-370;mq;mq;mq;mq;mq;mq;mq;11.000000;13.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07222;2,02003E+13;101780;-170;8;200;3.200000;283.250000;279.050000;75;53990;0;mq;mq;100;8;800;mq;mq;mq;101460;mq;mq;-380;mq;mq;mq;mq;283.850000;mq;mq;5.200000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.000000;mq;mq;mq;mq;8;mq;960;mq;mq;mq;mq;mq;mq;mq;mq;mq
