numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02106E+13;101600;-80;6;50;2.500000;290.050000;289.850000;99;14170;0;mq;mq;mq;mq;mq;mq;mq;mq;100750;mq;mq;-190;mq;mq;mq;mq;289.950000;mq;mq;3.600000;5.500000;-10;1;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02106E+13;101640;-100;6;40;3.400000;291.150000;289.150000;88;4990;10;mq;mq;100;8;3600;mq;mq;mq;101090;mq;mq;-160;mq;mq;mq;mq;291.350000;mq;mq;5.000000;5.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;3.400000;mq;mq;mq;mq;2;mq;3600;7;mq;4140;8;mq;5700;mq;mq;mq
07020;2,02106E+13;101380;-130;8;70;5.300000;287.650000;287.150000;97;8000;60;6;2;100;8;1250;38;mq;mq;101270;mq;mq;-320;mq;mq;mq;mq;mq;mq;mq;6.900000;8.800000;-10;mq;mq;mq;mq;0.800000;1.600000;4.800000;mq;mq;mq;mq;mq;mq;8;6;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02106E+13;101370;-100;6;350;1.700000;289.450000;288.850000;96;16660;0;mq;mq;100;8;250;mq;mq;mq;100580;mq;mq;-400;mq;mq;mq;mq;290.350000;mq;mq;3.100000;6.700000;-10;1;0.000000;mq;mq;0.000000;-0.100000;4.800000;7.000000;7.000000;mq;mq;mq;mq;1;mq;210;7;mq;510;8;mq;660;mq;9;mq
07037;2,02106E+13;101430;-90;6;90;6.100000;290.450000;287.750000;84;36340;0;mq;mq;90;7;3540;mq;mq;mq;99650;mq;mq;-330;mq;mq;mq;mq;291.850000;mq;mq;8.200000;8.600000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;0.200000;0.200000;0.200000;mq;mq;mq;mq;6;mq;3540;7;mq;4500;mq;mq;mq;mq;mq;mq
07072;2,02106E+13;101530;-80;6;40;1.500000;289.950000;287.750000;87;20000;0;mq;mq;90;7;1750;mq;mq;mq;100410;mq;mq;-280;mq;mq;mq;mq;289.550000;mq;mq;2.300000;2.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;1920;7;mq;5940;7;mq;6600;mq;mq;mq
07110;2,02106E+13;101350;-110;8;20;3.000000;285.650000;284.550000;93;4250;10;mq;mq;100;8;80;mq;mq;mq;100180;mq;mq;-520;mq;mq;mq;mq;285.550000;mq;mq;4.900000;5.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,02106E+13;101310;-130;6;330;1.000000;286.950000;286.650000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100620;mq;mq;-510;mq;mq;mq;mq;mq;mq;mq;1.800000;2.900000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02106E+13;101290;-40;6;310;1.600000;286.950000;286.750000;99;860;44;mq;mq;mq;1;150;mq;mq;mq;100850;mq;mq;-530;mq;mq;mq;mq;288.650000;mq;mq;2.500000;3.000000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;9.800000;28.400000;mq;mq;mq;mq;1;mq;180;5;mq;2700;5;mq;4620;mq;mq;mq
07139;2,02106E+13;101260;-100;8;40;2.400000;289.850000;288.750000;93;13240;0;mq;mq;100;8;3120;mq;mq;mq;99560;mq;mq;-520;mq;mq;mq;mq;291.550000;mq;mq;3.700000;4.400000;-10;1;mq;mq;mq;0.200000;0.200000;1.200000;1.200000;1.200000;mq;mq;mq;mq;8;mq;3120;mq;mq;mq;mq;mq;mq;mq;mq;mq
07149;2,02106E+13;101430;-70;6;60;2.600000;292.150000;287.650000;75;20000;25;8;6;90;3;1750;32;27;12;100380;mq;mq;-400;mq;mq;mq;mq;mq;mq;mq;4.200000;6.600000;-10;1;0.000000;0.000000;-60;-0.100000;-0.100000;-0.100000;0.200000;4.600000;mq;mq;mq;mq;3;8;1560;5;3;3360;7;0;6200;mq;mq;mq
07168;2,02106E+13;101440;-100;6;90;0.500000;289.850000;286.350000;80;20000;0;mq;mq;mq;1;3240;mq;mq;mq;100050;mq;mq;-410;mq;mq;mq;mq;286.850000;mq;mq;1.500000;2.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;3240;mq;mq;mq;mq;mq;mq;mq;mq;mq
07181;2,02106E+13;101580;-20;5;0;0.000000;290.150000;286.850000;81;21390;0;mq;mq;mq;0;mq;mq;mq;mq;97600;mq;mq;-300;mq;mq;mq;mq;287.650000;mq;mq;1.700000;3.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07190;2,02106E+13;101580;-60;5;290;1.800000;290.350000;288.150000;87;20010;0;mq;mq;mq;0;mq;mq;mq;mq;99810;mq;mq;-370;mq;mq;mq;mq;289.150000;mq;mq;2.200000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07207;2,02106E+13;101300;-80;8;360;3.400000;286.750000;285.650000;93;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100790;mq;mq;-550;mq;mq;mq;mq;mq;mq;mq;4.400000;4.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;2.400000;5.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
