numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,01704E+13;102870;30;3;40;2.500000;277.250000;274.750000;84;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101970;mq;mq;-70;mq;mq;mq;mq;279.250000;mq;mq;3.000000;4.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,01704E+13;102840;0;4;340;1.500000;277.550000;274.750000;82;34330;0;mq;mq;mq;0;mq;mq;mq;mq;102250;mq;mq;0;mq;mq;mq;mq;272.950000;mq;mq;2.400000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,01704E+13;102810;0;0;160;2.000000;279.350000;277.350000;87;12000;2;0;mq;0;0;mq;30;20;10;102710;mq;mq;-230;mq;mq;mq;mq;mq;mq;mq;2.900000;3.300000;-10;0;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,01704E+13;102810;0;5;70;0.900000;279.050000;278.650000;97;10490;0;mq;mq;mq;0;mq;mq;mq;mq;101970;mq;mq;-240;mq;mq;mq;mq;275.950000;mq;mq;1.400000;1.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,01704E+13;102860;40;3;60;3.500000;277.150000;275.850000;91;6290;0;mq;mq;mq;0;mq;mq;mq;mq;100960;mq;mq;-150;mq;mq;mq;mq;281.550000;mq;mq;4.400000;4.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,01704E+13;102760;70;1;30;3.500000;278.350000;274.050000;74;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101570;mq;mq;-110;mq;mq;mq;mq;278.250000;mq;mq;5.300000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,01704E+13;102750;10;2;40;2.700000;279.250000;277.850000;91;19610;0;mq;mq;mq;0;mq;mq;mq;mq;101530;mq;mq;-280;mq;mq;mq;mq;mq;mq;mq;3.300000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,01704E+13;102730;-20;7;90;3.800000;283.350000;281.150000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102020;mq;mq;-320;mq;mq;mq;mq;mq;mq;mq;5.500000;6.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,01704E+13;102670;0;0;30;3.800000;281.950000;277.950000;76;37890;0;mq;mq;mq;0;mq;mq;mq;mq;102210;mq;mq;-280;mq;mq;mq;mq;282.550000;mq;mq;5.500000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,01704E+13;102750;20;2;30;2.100000;278.550000;277.050000;90;9630;0;mq;mq;mq;0;mq;mq;mq;mq;100950;mq;mq;-240;mq;mq;mq;mq;280.750000;mq;mq;2.800000;5.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
