numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,01706E+13;102610;-40;8;210;0.600000;289.850000;288.050000;89;17750;0;mq;mq;mq;mq;mq;mq;mq;mq;101750;mq;mq;-190;mq;mq;mq;mq;291.350000;mq;mq;1.300000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,01706E+13;102600;-30;8;60;1.100000;291.250000;286.550000;74;25130;0;mq;mq;mq;0;mq;mq;mq;mq;102040;mq;mq;-80;mq;mq;mq;mq;287.550000;mq;mq;1.200000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,01706E+13;102530;-100;8;100;3.900000;287.450000;283.650000;78;18000;2;0;mq;0;0;mq;30;20;10;102430;mq;mq;-350;mq;mq;mq;mq;mq;mq;mq;5.000000;5.300000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,01706E+13;102560;-70;8;290;1.800000;286.150000;284.850000;92;12140;0;mq;mq;mq;0;mq;mq;mq;mq;101750;mq;mq;-330;mq;mq;mq;mq;285.050000;mq;mq;2.100000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,01706E+13;102540;-60;8;70;3.200000;290.050000;287.150000;83;17120;0;mq;mq;mq;0;mq;mq;mq;mq;100740;mq;mq;-300;mq;mq;mq;mq;288.350000;mq;mq;3.900000;4.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,01706E+13;102530;-10;8;40;2.200000;289.550000;286.050000;80;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101400;mq;mq;-200;mq;mq;mq;mq;289.950000;mq;mq;3.600000;4.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,01706E+13;102450;-100;6;50;2.800000;288.550000;283.150000;70;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101280;mq;mq;-470;mq;mq;mq;mq;mq;mq;mq;4.400000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,01706E+13;102500;-80;8;100;3.300000;288.350000;286.150000;87;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101800;mq;mq;-460;mq;mq;mq;mq;mq;mq;mq;4.600000;4.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,01706E+13;102390;-50;8;330;1.200000;289.850000;285.550000;76;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101950;mq;mq;-470;mq;mq;mq;mq;290.550000;mq;mq;1.600000;2.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,01706E+13;102480;-30;8;110;1.500000;290.350000;287.650000;84;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100760;mq;mq;-360;mq;mq;mq;mq;291.250000;mq;mq;2.100000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07149;2,01706E+13;102470;-30;8;60;3.200000;293.250000;287.850000;71;35350;0;0;0;mq;0;mq;mq;mq;mq;101410;mq;mq;-290;mq;mq;mq;mq;mq;mq;mq;4.500000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07168;2,01706E+13;102470;-20;8;300;1.300000;288.550000;286.950000;90;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101060;mq;mq;-240;mq;mq;mq;mq;289.850000;mq;mq;2.000000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07181;2,01706E+13;102490;-50;8;90;0.800000;290.050000;285.950000;77;43880;0;mq;mq;90;7;1250;mq;mq;mq;98470;mq;mq;-130;mq;mq;mq;mq;285.350000;mq;mq;1.400000;2.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;1320;mq;mq;mq;mq;mq;mq;mq;mq;mq
07190;2,01706E+13;102520;-30;8;20;1.200000;291.450000;286.350000;72;44940;0;mq;mq;100;8;1750;mq;mq;mq;100740;mq;mq;0;mq;mq;mq;mq;291.150000;mq;mq;2.400000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1800;mq;mq;mq;mq;mq;mq;mq;mq;mq
07207;2,01706E+13;102270;-50;8;mq;mq;292.450000;287.250000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101760;mq;mq;-540;mq;mq;mq;mq;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07222;2,01706E+13;102240;-20;8;60;2.800000;294.850000;286.950000;61;59950;0;mq;mq;mq;0;mq;mq;mq;mq;101930;mq;mq;-520;mq;mq;mq;mq;290.450000;mq;mq;4.300000;5.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07240;2,01706E+13;102350;-40;8;60;3.000000;290.250000;287.150000;82;40600;0;mq;mq;mq;0;mq;mq;mq;mq;101020;mq;mq;-370;mq;mq;mq;mq;290.450000;mq;mq;4.500000;4.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07255;2,01706E+13;102300;-70;8;60;3.200000;291.950000;285.650000;67;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100350;mq;mq;-320;mq;mq;mq;mq;292.350000;mq;mq;5.100000;6.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07280;2,01706E+13;102380;-10;8;360;3.100000;289.350000;285.150000;76;60000;0;mq;mq;mq;0;mq;mq;mq;mq;99700;mq;mq;-250;mq;mq;mq;mq;290.550000;mq;mq;3.900000;4.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
