numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02206E+13;101220;170;0;360;10.000000;287.550000;283.950000;79;19660;0;mq;mq;mq;mq;mq;mq;mq;mq;100360;mq;mq;-800;mq;mq;mq;mq;288.950000;mq;mq;16.300000;18.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02206E+13;101080;-30;5;320;8.800000;289.550000;286.050000;80;20000;0;mq;mq;mq;5;450;mq;mq;mq;100520;mq;mq;-900;mq;mq;mq;mq;288.450000;mq;mq;13.700000;13.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,02206E+13;101330;-10;0;40;9.900000;287.350000;283.550000;78;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101220;mq;mq;-610;mq;mq;mq;mq;mq;mq;mq;15.000000;15.000000;-10;mq;mq;mq;mq;0.000000;0.000000;2.200000;2.200000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02206E+13;101320;-240;5;340;3.600000;288.350000;285.250000;82;35940;0;mq;mq;100;8;450;mq;mq;mq;100520;mq;mq;-680;mq;mq;mq;mq;291.550000;mq;mq;6.200000;13.700000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,02206E+13;101200;310;3;350;10.900000;287.450000;284.750000;84;13190;0;mq;mq;100;8;250;mq;mq;mq;99340;mq;mq;-830;mq;mq;mq;mq;291.550000;mq;mq;18.500000;19.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,02206E+13;100630;-170;8;80;5.000000;294.150000;288.950000;72;20000;0;mq;mq;mq;0;mq;mq;mq;mq;99540;mq;mq;-1410;mq;mq;mq;mq;291.350000;mq;mq;6.400000;6.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,02206E+13;101220;-410;6;60;10.100000;286.350000;283.150000;81;33090;0;mq;mq;100;8;4680;mq;mq;mq;100050;mq;mq;-710;mq;mq;mq;mq;286.750000;mq;mq;16.100000;17.400000;-10;1;0.000000;mq;mq;0.200000;0.200000;0.200000;1.600000;1.600000;mq;mq;mq;mq;6;mq;4680;8;mq;5280;mq;mq;mq;mq;mq;mq
07117;2,02206E+13;101470;-160;5;50;6.000000;287.650000;284.250000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100780;mq;mq;-520;mq;mq;mq;mq;mq;mq;mq;10.600000;15.600000;-10;mq;mq;mq;mq;0.000000;0.000000;3.200000;3.600000;3.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02206E+13;101290;100;3;310;4.000000;290.150000;287.450000;84;21420;0;mq;mq;100;6;450;mq;mq;mq;100850;mq;mq;-690;mq;mq;mq;mq;291.150000;mq;mq;7.400000;8.300000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;0.200000;0.200000;0.200000;mq;mq;mq;mq;6;mq;510;7;mq;2100;7;mq;2880;mq;8;mq
07139;2,02206E+13;100920;30;0;20;7.100000;288.550000;286.250000;86;15450;0;mq;mq;100;8;450;mq;mq;mq;99220;mq;mq;-1100;mq;mq;mq;mq;293.350000;mq;mq;11.300000;14.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq
